ColumnaX,ColumnaZ,ColumnaY
2.008,31.059,447
2.014,31.231,448
2.016,31.309,449
2.008,31.039,450
2.018,31.362,451
2.017,31.334,452
2.021,31.457,453
2.019,31.383,454
2.019,31.387,455
2.012,31.182,456
2.021,31.445,457
2.014,31.227,458
2.017,31.313,459
2.019,31.399,460
2.018,31.362,461
2.013,31.207,462
2.012,31.157,463
2.009,31.072,464
2.011,31.129,465
2.011,31.137,466
2.003,30.880,467
2.007,31.002,468
2.005,30.953,469
2.012,31.178,470
2.004,30.929,471
2.004,30.912,472
2.011,31.137,473
2.002,30.851,474
1.998,30.750,475
2.000,30.807,476
1.999,30.770,477
2.010,31.117,478
2.005,30.953,479
2.006,30.986,480
2.005,30.965,481
2.004,30.933,482
2.000,30.811,483
2.009,31.072,484
2.001,30.835,485
2.008,31.059,486
2.011,31.125,487
2.014,31.235,488
2.006,30.974,489
2.015,31.276,490
2.017,31.321,491
2.010,31.117,492
2.015,31.264,493
2.014,31.219,494
2.020,31.416,495
2.021,31.436,496
2.023,31.519,497
2.017,31.338,498
2.015,31.252,499
2.016,31.284,500
2.019,31.383,501
2.017,31.313,502
2.011,31.153,503
2.012,31.166,504
2.004,30.916,505
2.007,31.031,506
2.010,31.117,507
2.013,31.211,508
2.014,31.248,509
2.015,31.264,510
2.014,31.227,511
2.011,31.141,512
2.004,30.916,513
2.011,31.153,514
2.007,31.031,515
2.012,31.162,516
2.011,31.133,517
2.007,31.018,518
2.011,31.125,519
2.006,30.990,520
2.002,30.859,521
2.000,30.794,522
2.002,30.864,523
2.002,30.855,524
1.993,30.591,525
1.984,30.308,526
1.997,30.709,527
2.001,30.831,528
1.988,30.421,529
1.994,30.603,530
1.996,30.664,531
2.006,30.986,532
1.987,30.409,533
1.994,30.624,534
1.992,30.559,535
1.998,30.725,536
2.000,30.802,537
2.008,31.043,538
2.004,30.921,539
2.000,30.802,540
2.009,31.080,541
2.002,30.872,542
2.012,31.170,543
2.009,31.072,544
2.012,31.174,545
2.010,31.121,546
2.008,31.059,547
2.011,31.153,548
2.013,31.194,549
2.009,31.080,550
2.010,31.112,551
2.015,31.272,552
2.005,30.949,553
2.014,31.219,554
2.007,31.027,555
2.003,30.900,556
2.008,31.059,557
2.002,30.872,558
2.004,30.921,559
2.001,30.819,560
2.005,30.953,561
1.992,30.547,562
2.009,31.084,563
1.999,30.782,564
2.002,30.868,565
2.005,30.941,566
2.008,31.051,567
2.010,31.112,568
2.012,31.186,569
2.006,30.974,570
2.008,31.039,571
2.010,31.112,572
1.995,30.648,573
2.002,30.851,574
1.989,30.466,575
1.998,30.729,576
1.996,30.664,577
2.005,30.945,578
1.998,30.733,579
1.995,30.644,580
1.994,30.607,581
1.990,30.494,582
1.993,30.575,583
1.986,30.377,584
1.986,30.357,585
1.986,30.373,586
1.982,30.243,587
1.987,30.413,588
1.986,30.381,589
1.981,30.219,590
1.979,30.171,591
1.986,30.369,592
1.981,30.219,593
1.981,30.215,594
1.987,30.389,595
1.983,30.292,596
1.987,30.389,597
1.990,30.478,598
1.996,30.680,599
1.995,30.636,600
1.994,30.628,601
2.000,30.794,602
1.994,30.607,603
1.993,30.587,604
1.994,30.611,605
1.991,30.530,606
2.005,30.941,607
2.001,30.843,608
1.995,30.652,609
2.007,31.014,610
2.000,30.811,611
2.001,30.819,612
2.001,30.831,613
2.005,30.965,614
1.997,30.709,615
1.997,30.721,616
1.998,30.733,617
1.994,30.616,618
1.990,30.498,619
1.997,30.717,620
1.995,30.636,621
1.996,30.685,622
1.985,30.336,623
1.984,30.324,624
1.989,30.474,625
1.979,30.159,626
1.977,30.091,627
1.988,30.421,628
1.977,30.099,629
1.983,30.284,630
1.975,30.038,631
1.977,30.082,632
1.983,30.272,633
1.984,30.296,634
1.976,30.070,635
1.979,30.171,636
1.985,30.344,637
1.982,30.248,638
1.984,30.308,639
1.982,30.260,640
1.975,30.046,641
1.980,30.195,642
1.974,30.002,643
1.980,30.183,644
1.979,30.147,645
1.969,29.858,646
1.973,29.982,647
1.976,30.058,648
1.979,30.167,649
1.978,30.139,650
1.969,29.842,651
1.975,30.038,652
1.980,30.191,653
1.967,29.802,654
1.970,29.886,655
1.971,29.914,656
1.984,30.296,657
1.975,30.042,658
1.971,29.926,659
1.963,29.682,660
1.973,29.986,661
1.980,30.187,662
1.969,29.866,663
1.963,29.662,664
1.970,29.878,665
1.970,29.890,666
1.969,29.858,667
1.972,29.930,668
1.971,29.902,669
1.966,29.774,670
1.966,29.762,671
1.976,30.050,672
1.970,29.898,673
1.967,29.778,674
1.968,29.814,675
1.970,29.890,676
1.965,29.726,677
1.964,29.698,678
1.959,29.562,679
1.969,29.850,680
1.962,29.654,681
1.963,29.682,682
1.968,29.810,683
1.967,29.806,684
1.974,30.018,685
1.968,29.818,686
1.965,29.730,687
1.976,30.054,688
1.972,29.958,689
1.981,30.223,690
1.983,30.272,691
1.972,29.930,692
1.981,30.203,693
1.981,30.211,694
1.971,29.926,695
1.980,30.195,696
1.978,30.131,697
1.985,30.336,698
1.986,30.361,699
1.976,30.070,700
1.972,29.954,701
1.988,30.445,702
1.983,30.272,703
1.989,30.462,704
1.984,30.324,705
1.984,30.308,706
1.977,30.103,707
1.987,30.397,708
1.980,30.195,709
1.983,30.268,710
1.981,30.207,711
1.979,30.159,712
1.981,30.231,713
1.979,30.155,714
1.980,30.199,715
1.973,29.982,716
1.967,29.790,717
1.982,30.235,718
1.977,30.086,719
1.977,30.095,720
1.974,30.010,721
1.970,29.886,722
1.972,29.954,723
1.974,29.990,724
1.974,30.006,725
1.967,29.790,726
1.970,29.878,727
1.969,29.862,728
1.969,29.850,729
1.974,29.990,730
1.978,30.139,731
1.971,29.902,732
1.956,29.462,733
1.972,29.958,734
1.963,29.662,735
1.970,29.898,736
1.969,29.866,737
1.962,29.630,738
1.970,29.878,739
1.967,29.782,740
1.976,30.058,741
1.971,29.926,742
1.972,29.930,743
1.974,30.010,744
1.967,29.790,745
1.975,30.022,746
1.969,29.866,747
1.966,29.762,748
1.969,29.846,749
1.967,29.778,750
1.966,29.758,751
1.969,29.846,752
1.970,29.882,753
1.968,29.818,754
1.971,29.902,755
1.972,29.942,756
1.974,30.006,757
1.976,30.066,758
1.979,30.159,759
1.978,30.139,760
1.975,30.046,761
1.980,30.179,762
1.983,30.268,763
1.978,30.139,764
1.978,30.139,765
1.985,30.332,766
1.979,30.155,767
1.987,30.405,768
1.981,30.207,769
1.990,30.506,770
1.977,30.107,771
1.986,30.369,772
1.989,30.462,773
1.980,30.195,774
1.988,30.445,775
1.985,30.332,776
1.975,30.034,777
1.986,30.361,778
1.975,30.034,779
1.981,30.231,780
1.987,30.409,781
1.983,30.288,782
1.989,30.458,783
1.986,30.361,784
1.981,30.227,785
1.982,30.260,786
1.981,30.227,787
1.975,30.042,788
1.978,30.115,789
1.977,30.082,790
1.978,30.123,791
1.983,30.276,792
1.983,30.272,793
1.988,30.417,794
1.987,30.413,795
1.986,30.385,796
1.985,30.348,797
1.979,30.159,798
1.984,30.324,799
1.981,30.215,800
1.982,30.256,801
1.990,30.486,802
1.985,30.328,803
1.981,30.231,804
1.975,30.038,805
1.997,30.721,806
1.985,30.348,807
1.981,30.211,808
1.992,30.543,809
1.978,30.135,810
1.991,30.510,811
1.979,30.143,812
1.982,30.256,813
1.984,30.312,814
1.984,30.304,815
1.990,30.502,816
1.996,30.676,817
1.996,30.676,818
1.994,30.603,819
1.980,30.183,820
1.986,30.357,821
1.983,30.280,822
1.995,30.632,823
1.991,30.510,824
1.996,30.668,825
1.992,30.551,826
1.992,30.543,827
1.991,30.518,828
1.985,30.352,829
1.995,30.656,830
1.996,30.681,831
1.992,30.543,832
1.984,30.320,833
1.989,30.449,834
1.989,30.474,835
1.983,30.276,836
1.985,30.340,837
1.995,30.640,838
1.990,30.506,839
1.987,30.413,840
1.986,30.357,841
1.987,30.397,842
1.982,30.239,843
1.986,30.373,844
1.988,30.425,845
1.992,30.567,846
1.990,30.486,847
1.993,30.575,848
1.990,30.494,849
1.989,30.466,850
1.985,30.352,851
1.994,30.611,852
1.995,30.644,853
1.994,30.611,854
1.991,30.534,855
1.987,30.405,856
1.989,30.470,857
1.993,30.583,858
1.995,30.636,859
1.995,30.652,860
1.991,30.522,861
1.990,30.502,862
1.992,30.551,863
1.996,30.681,864
1.982,30.239,865
1.985,30.352,866
1.990,30.490,867
1.996,30.681,868
1.988,30.441,869
1.986,30.357,870
1.986,30.369,871
1.981,30.207,872
1.982,30.256,873
1.974,29.998,874
1.985,30.344,875
1.986,30.365,876
1.986,30.365,877
1.989,30.466,878
1.987,30.409,879
1.982,30.239,880
1.989,30.449,881
1.981,30.219,882
1.978,30.135,883
1.984,30.324,884
1.981,30.231,885
1.981,30.207,886
1.985,30.344,887
1.979,30.171,888
1.975,30.046,889
1.987,30.413,890
1.984,30.312,891
1.979,30.171,892
1.980,30.183,893
1.984,30.296,894
1.983,30.272,895
1.983,30.272,896
1.980,30.175,897
1.993,30.575,898
1.991,30.539,899
1.990,30.498,900
